,state,State Name,disease,Number of Rubella Cases,"Rubella Incidence Per 100,000 People",year,number_week
424,WA,WASHINGTON,RUBELLA,84,2.75,1966,13
425,WI,WISCONSIN,RUBELLA,221,5.17,1966,13
426,WV,WEST VIRGINIA,RUBELLA,32,1.8,1966,13
427,AK,ALASKA,RUBELLA,6,2.21,1966,14
428,AL,ALABAMA,RUBELLA,5,0.14,1966,14
429,AR,ARKANSAS,RUBELLA,1,0.05,1966,14
430,AZ,ARIZONA,RUBELLA,118,7.31,1966,14
431,CA,CALIFORNIA,RUBELLA,148,0.78,1966,14
432,CO,COLORADO,RUBELLA,13,0.65,1966,14
433,CT,CONNECTICUT,RUBELLA,53,1.83,1966,14
434,DC,DISTRICT OF COLUMBIA,RUBELLA,2,0.25,1966,14
435,FL,FLORIDA,RUBELLA,24,0.39,1966,14
436,IA,IOWA,RUBELLA,121,4.38,1966,14
437,IL,ILLINOIS,RUBELLA,110,1.02,1966,14
438,IN,INDIANA,RUBELLA,82,1.64,1966,14
439,KY,KENTUCKY,RUBELLA,24,0.76,1966,14
440,MA,MASSACHUSETTS,RUBELLA,75,1.36,1966,14
441,MD,MARYLAND,RUBELLA,15,0.41,1966,14
442,ME,MAINE,RUBELLA,18,1.8,1966,14
443,MI,MICHIGAN,RUBELLA,104,1.22,1966,14
444,MN,MINNESOTA,RUBELLA,6,0.17,1966,14
445,MO,MISSOURI,RUBELLA,4,0.09,1966,14
